Epoch,Loss,Train Accuracy,Test Accuracy
1,0.17597765655419942,1.0,1.0
2,0.17273350146279923,1.0,1.0
3,0.17265710754629693,1.0,1.0
4,0.17463122917009347,1.0,1.0
5,0.17020313369963938,1.0,1.0
6,0.17181077419566768,1.0,1.0
7,0.1723842602223158,1.0,1.0
8,0.1759567961562425,1.0,1.0
9,0.1710022529005073,1.0,1.0
10,0.174574788834434,1.0,1.0
11,0.17465940152760595,1.0,1.0
12,0.1723842602223158,1.0,1.0
13,0.17499785230029374,1.0,1.0
14,0.17293894343310967,1.0,1.0
15,0.17235605599125847,1.0,1.0
16,0.17126549239037558,1.0,1.0
17,0.17347482382319868,1.0,1.0
18,0.17377566895447671,1.0,1.0
19,0.174038908444345,1.0,1.0
20,0.17217742919456214,1.0,1.0
21,0.17335260548861697,1.0,1.0
22,0.17162274598376825,1.0,1.0
23,0.1729483448434621,1.0,1.0
24,0.17240306304302067,1.0,1.0
25,0.17392609152011573,1.0,1.0
26,0.1736722534405999,1.0,1.0
27,0.16873651300556958,1.0,1.0
28,0.1754491199972108,1.0,1.0
29,0.175646549614612,1.0,1.0
30,0.17432095075491816,1.0,1.0
