Epoch: 1 | Loss: 0.5500 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5511
Epoch: 2 | Loss: 0.5452 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5499
Epoch: 3 | Loss: 0.5438 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5489
Epoch: 4 | Loss: 0.5421 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5489
Epoch: 5 | Loss: 0.5402 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5426
Epoch: 6 | Loss: 0.5376 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5529
Epoch: 7 | Loss: 0.5343 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5456
Epoch: 8 | Loss: 0.5314 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5541
Epoch: 9 | Loss: 0.5269 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5545
Epoch: 10 | Loss: 0.5221 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5483
Epoch: 11 | Loss: 0.5174 | Train Acc: 0.7574 | Train F1: 0.8619 | Test Acc: 0.7591 | Test F1: 0.8630 | Test Loss: 0.5236
Epoch: 12 | Loss: 0.5133 | Train Acc: 0.7574 | Train F1: 0.8619 | Test Acc: 0.7589 | Test F1: 0.8629 | Test Loss: 0.5254
Epoch: 13 | Loss: 0.5089 | Train Acc: 0.7574 | Train F1: 0.8619 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5347
Epoch: 14 | Loss: 0.5060 | Train Acc: 0.7573 | Train F1: 0.8618 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5308
Epoch: 15 | Loss: 0.5022 | Train Acc: 0.7571 | Train F1: 0.8617 | Test Acc: 0.7592 | Test F1: 0.8629 | Test Loss: 0.5266
Epoch: 16 | Loss: 0.4990 | Train Acc: 0.7573 | Train F1: 0.8617 | Test Acc: 0.7594 | Test F1: 0.8630 | Test Loss: 0.5390
Epoch: 17 | Loss: 0.4964 | Train Acc: 0.7572 | Train F1: 0.8617 | Test Acc: 0.7587 | Test F1: 0.8627 | Test Loss: 0.5553
Epoch: 18 | Loss: 0.4945 | Train Acc: 0.7572 | Train F1: 0.8618 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.5803
Epoch: 19 | Loss: 0.4913 | Train Acc: 0.7571 | Train F1: 0.8617 | Test Acc: 0.7587 | Test F1: 0.8627 | Test Loss: 0.5649
Epoch: 20 | Loss: 0.4899 | Train Acc: 0.7572 | Train F1: 0.8617 | Test Acc: 0.7589 | Test F1: 0.8628 | Test Loss: 0.5960
Epoch: 21 | Loss: 0.4884 | Train Acc: 0.7570 | Train F1: 0.8616 | Test Acc: 0.7589 | Test F1: 0.8628 | Test Loss: 0.5616
Epoch: 22 | Loss: 0.4876 | Train Acc: 0.7568 | Train F1: 0.8614 | Test Acc: 0.7591 | Test F1: 0.8628 | Test Loss: 0.5533
Epoch: 23 | Loss: 0.4871 | Train Acc: 0.7574 | Train F1: 0.8617 | Test Acc: 0.7597 | Test F1: 0.8631 | Test Loss: 0.5605
Epoch: 24 | Loss: 0.4852 | Train Acc: 0.7576 | Train F1: 0.8617 | Test Acc: 0.7599 | Test F1: 0.8631 | Test Loss: 0.5507
Epoch: 25 | Loss: 0.4843 | Train Acc: 0.7574 | Train F1: 0.8617 | Test Acc: 0.7597 | Test F1: 0.8631 | Test Loss: 0.5817
Epoch: 1 | Loss: 0.6845 | Train Acc: 0.7575 | Train F1: 0.8620 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.7007
Epoch: 2 | Loss: 0.6799 | Train Acc: 0.7572 | Train F1: 0.8618 | Test Acc: 0.7587 | Test F1: 0.8628 | Test Loss: 0.6935
