Epoch,Loss,Train Accuracy,Train F1,Test Accuracy,Test F1,Test Loss
1,0.5565144016679066,0.757478328110374,0.8620058819442836,0.7587497965163601,0.8628285820066642,0.5446146170143038
2,0.5467761408848067,0.757478328110374,0.8620058819442836,0.7585870096044278,0.8627233175969639,0.5442090203675131
3,0.545785851466159,0.7575190264946482,0.862025844101709,0.7585870096044278,0.8627233175969639,0.5433918116614223
4,0.5450511189022412,0.7576004232631964,0.862052992403187,0.758098648868631,0.8623819225782552,0.5433785835436235
5,0.5444711172992053,0.7575190264946482,0.8620130622076058,0.7582614357805633,0.8624872673395685,0.5431678986254459
6,0.5439351229773214,0.7576004232631964,0.8620338197822562,0.7577730750447664,0.8621711745090774,0.5427343511643509
7,0.543944698253957,0.7575597248789223,0.8620010656288368,0.7577730750447664,0.8621711745090774,0.5428804450202733
8,0.5443010462331586,0.7573969313418257,0.8618892055327726,0.7576102881328342,0.8620402112480311,0.5424632040473322
9,0.5438312452558117,0.7572748361890033,0.8618100931461142,0.7574475012209019,0.861934766493699,0.5426191384904087
10,0.543581616152854,0.7570306458833584,0.8616069358801984,0.7571219273970373,0.8616981831664813,0.5423925529854993
11,0.543264823713495,0.7574376297260998,0.8618963759384558,0.7574475012209019,0.861934766493699,0.5421797790719817
